
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x06","0x07","0x09","0x0A","0x0B","0x0D","0x0E","0x0F","0x13","0x16","0x17","0x18","0x19","0x1B","0x1C","0x1E","0x21","0x4F","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x87","0x93","0x9C","0x9F","0xC0","0xC1","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","6","7","9","10","11","13","14","15","19","22","23","24","25","27","28","30","33","PUSHM1","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","EQUAL","ADD","NUMEQUAL","LT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Main\Contract1.cs","0","// No source code available","946","893","6","13","2","1","3","4","3","5","4","19","4","4","2","47","3","6","1","3","1","2","927","1594","757","228","258","152","204","85","89","45","38","14","15","15","10","8","2075","449","8","36","244","31","2721","2721","49","254","2991","8","957","174","1265","3","4","38","4","10","1","2100","1552","351"
"","","Tally by Opcode>","946","893","6","13","2","1","3","4","3","5","4","19","4","4","2","47","3","6","1","3","1","2","927","1594","757","228","258","152","204","85","89","45","38","14","15","15","10","8","2075","449","8","36","244","31","2721","2721","49","254","2991","8","957","174","1265","3","4","38","4","10","1","2100","1552","351"
"","","Total Tally>","24457"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x06","0x07","0x09","0x0A","0x0B","0x0D","0x0E","0x0F","0x13","0x16","0x17","0x18","0x19","0x1B","0x1C","0x1E","0x21","0x4F","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x87","0x93","0x9C","0x9F","0xC0","0xC1","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","6","7","9","10","11","13","14","15","19","22","23","24","25","27","28","30","33","PUSHM1","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","EQUAL","ADD","NUMEQUAL","LT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Main\Contract1.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.449","0.008","0.036","0.244","0.031","2.721","2.721","0.049","0.254","2.991","0.008","0.957","0.174","1.265","0.003","0.004","0.038","0.004","0.01","0","2.1","1.552","0.351"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.449","0.008","0.036","0.244","0.031","2.721","2.721","0.049","0.254","2.991","0.008","0.957","0.174","1.265","0.003","0.004","0.038","0.004","0.01","0","2.1","1.552","0.351"
"","","Total Cost>","15.97"
